symbol,Keywords
PNP.TO,promissory financial advisory Partnership investing Canada-based investment geographical convertible investment portfolio technology Investment Barbados 
CKR.V,Province north-northeast Montpellier Corporation southern Buckingham exploration Bethanien district Canada-based property evaluation acquisition 
NBR,instrumentation land-based placement directional International measurement equipment optimization well-site international performance technology offshore 
IDRA,development discovery technology modulating Toll-like commercialization synthetic oligonucleotide-based messenger clinical-stage biopharmaceutical third-generation discovery 
WYNN,Operations Limited entertainment December Company destination expansion integrate Massachusetts operator intersection integrated developer 
FET,development Infrastructure transportation Completions oilfield aftermarket stimulation equipment infrastructure construction exploration Production intervention 
TSLA,development manufacture installation generation Automotive vehicles electricity products residential commercial customers manufacturing stationary 
MDRX,organizations management developmental disability behavioral intellectual accountable healthcare addiction post-acute Allscripts information technology Population 
GRUB,operations information personalized platform Applications December Restaurant restaurant pick-up Allmenus platform MenuPages Grubhub Corporate Internet-connected 
FNSR,telecommunication transmitting Corporation semiconductor optoelectronic packaging fundamental optical-electrical communication conjunction electronic integrated optoelectronic interconnecting 
PRSS,Kingdom entertainment States-based facility CafePress Websites crowd-sourced Louisville Kentucky personalized technology merchandise 
ONVI,government procurement Management business information government Spending procurement activity Company Database Contract research Analytics business intelligence database Purchase provider procurement-related 
GRPN,category commerce product ability offering package national domestic Groupon Through international remainder household merchandise jewelry 
ACHN,development ACH-4471 Achillion complement inhibitor complement alternative sovaprevir infectious hepatitis inhibition potential biopharmaceutical treatment odalasvir alternative immune-related discovery 
ROYT,development potential Developed Properties acquiring additional Sawtelle Company Underlying Properties Remaining statutory Production California Properties attributable non-producing properties 
RCKY,independent product designer business wholesale uniform hardware footwear international portfolio distribution military consumer Creative Recreation manufacturer 
EMITF,development equipment management ultrasound commercial mixed-use Commercial regenerative production construction initiation residential resonance transplantation population expansion 
ATW,completion development Advantage 400-foot Oceanics Mediterranean Deepwater Semisubmersibles Achiever offshore drilling exploration Ultra-Deepwater 350-foot Ultra-deepwater 
BLRX,development pre-clinical inflammatory cognitive Israel-based synthetic oligonucleotide preclinical-stage development schizophrenia non-surgical treatment registration myocardial infarction neuropathic prevention therapeutic 
FOSL,Company-owned Singapore Australia jewelry Malaysia marketing Indonesia consumer Americas Americas segment e-commerce accessories location distributor distribution principal segment European 
CBL.TO,possession mid-market management non-dilutive providing financing standalone Corporation providing liquidity traditional inventory asset-based Canada-based revolving acquisition bankruptcy 
PATK,building decorative industrial hardwood furniture aluminum addition commercial Company recreational component supplier fiberglass distributor hardwood Manufacturing household furniture manufacturer 
GRO.V,Americas Petrogas Chloride resource development northwestern potassium-rich Corporate regional near-surface fertilizer phosphate exploration production Canada-based potential development Ecuador addition 
SFLY,photo-based merchandise personalized photo-based Shutterfly marketing Minnesota variable thoughtful BorrowLenses MyPublisher statement photo-based stationery personalized manufacturer Consumer Shakopee production Shutterfly Business 
ENTA,development farnesoid respiratory syncytial candidate glecaprevir collaboration molecule hepatitis paritaprevir treatment development-focused biotechnology direct-acting-antiviral chemistry-driven approach inhibitor non-alcoholic discovery 
CYTX,development incontinence Therapeutics enzymatic heterogeneous population Celution medical response specific orthopedic complicated cellular biotechnology cardiovascular scleroderma consumable dysfunction 
SHAK,seasonal non-genetically District antibiotic-free hand-spun Company roadside domestic all-natural December 'Shroom American whole-muscle ShackMeister signature ShackBurger Shack-cago organism SmokeShack 
ADMS,pharmaceutical extended-release chrono-synchronous amantadine candidate developing dependent placebo-controlled tolerability proof-of-concept Parkinson understanding platform treatment neurologic levodopa-induced dyskinesia portfolio chrono-synchronous single-agent 
PFNX,development interferon therapeutic equivalent ranibizumab prophylactic teriparatide generation difficult-to-manufacture biosimilar candidates production candidates high-value biosimilar Expression clinical-stage biotechnology Betaseron 
DXR,instrumentation BVA-100 electric Analyzers Corporation diversified diagnosis semi-automated andrology surgical hypertension treatment fundamental portfolio biotechnology congestive anonymous investment autologous 
SBGI,business complementary technical marketing third-party programming television broadcasting non-media portfolio 
NFLX,television Domestic streaming December Company International streaming provider original Internet-connected 
OCLR,high-speed application virtualization transmission Company computing component transponder bandwidth-intensive discrete separate provider networks transport 
MACK,biophysical measuring deposition Merrimack companion candidates biochemical discovering biopharmaceutical diagnostic therapeutic 
SYNA,development intuitive entertainment TouchButtons marketing TouchStyk notebook self-contained custom-designed SecurePad mechanical interface ClearView electronic capacitive technology developer 
ARWR,intractable Arrowhead liver-targeted candidates Corporation ribonucleic interference overproduction preclinical pre-clinical-stage extra-hepatic portfolio Antitrypsin Deficiency therapeutic 
FCX,Freeport-McMoRan probable molybdenum large-scale Molybdenum Indonesia Americas Grasberg concentrate Refining geographical portfolio operation 
EXXI,development independent mississippi Companys properties natural Mexico December production company complex development drilling Complex developed include Companys Company 
NKO.TO,development Bangladesh adjacent Company petroleum production Exploration coastline interest kilometers exploration kilometer 
TRIP,transaction TripAdvisor availability display-based application Non-Hotel click-based advertising portfolio TripAdvisor-branded subscription-based advertising 
