Ticker&Date, BandWidth, BoilUpper, close, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma60,sma20,sma5,mfi,stochK,stochD,lastTradeDate
FET20170909,2.7428,12.5339,12.3999996185,9.7911,0.951181135529,0.3449,-0.6268,-0.2819,0.0278145169847,55.3593,13.5825,11.1625,11.96,71.8762,94.0,96.5067,1504877400
FNSR20170909,4.2598,25.7614,20.9500007629,21.5016,-0.129489468299,-0.2431,-0.6797,-0.9228,-0.0116038181932,27.482,25.6777,23.6315,22.084,19.7532,14.9621,12.3621,1504877400
BLRX20170909,0.1972,1.1786,1.03999996185,0.9814,0.297160049965,-0.0086,0.0126,0.004,-0.00826923107254,47.3538,0.9848,1.08,1.06,27.3518,25.0,31.25,1504877400
PRSS20170909,0.4172,2.2796,2.21000003815,1.8624,0.833173629307,0.0269,0.0013,0.0281,0.0121719454913,59.8449,2.2122,2.071,2.18,74.1624,90.0,88.6508,1504877400
NFLX20170909,16.602,179.4015,176.419998169,162.7995,0.820413092937,0.8728,0.6642,1.5369,0.00494728493968,57.4322,167.9465,171.1005,176.786,68.4689,75.4332,88.5599,1504877400
IMPV20170909,2.1486,45.1893,45.1500015259,43.0407,0.98170973,0.2695,-0.5981,-0.3286,0.00596899204634,53.2421,46.6117,44.115,44.6,58.8984,62.5,57.0402,1504877400
FOSL20170909,2.1092,9.2236,8.0,7.1144,0.41987483406,0.097,-0.3927,-0.2957,0.012125,40.4919,9.5705,8.169,8.512,63.1516,54.2986,77.9645,1504877400
ADXS20170909,1.6104,7.2627,7.40999984741,5.6523,1.09146786352,0.1259,0.0584,0.1843,0.0169905536562,71.902,6.5222,6.4575,7.026,82.3076,99.6784,96.8617,1504877400
CKR.V20170909,0.0159,0.0772,0.0750000029802,0.0613,0.861635407562,0.0011,-0.0017,-0.0006,0.0146666660839,55.9236,0.0783,0.0692,0.072,73.3866,100.0,88.8889,1504877400
SHAK20170909,1.9744,32.1697,30.8899993896,30.1953,0.351853418582,0.1282,-0.7818,-0.6536,0.00415021050609,39.4626,33.6098,31.1825,30.918,33.5748,45.2941,39.7663,1504877400
TSLA20170909,27.8055,365.1467,343.399993896,337.3412,0.217899116955,-0.6558,0.4553,-0.2005,-0.00190972630069,46.2596,347.5743,351.244,348.706,51.6604,43.4373,51.436,1504877400
GEOS20170909,0.9278,15.6374,14.9099998474,14.7096,0.215994662009,-0.0629,0.0994,0.0365,-0.00421864524773,47.1139,14.6618,15.1735,14.998,49.9053,29.4964,37.6499,1504877400
ENTA20170909,8.683,45.3945,42.6599998474,36.7115,0.685074265509,0.0531,1.2699,1.323,0.00124472574285,61.5922,38.3307,41.053,42.848,72.5417,69.031,71.6117,1504877400
ANTH20170909,0.381,1.555,1.41999995708,1.174,0.6456691787,0.0161,-0.0093,0.0068,0.0113380285117,51.0355,1.4953,1.3645,1.444,70.2079,38.6363,41.4502,1504877400
ACHN20170909,0.4716,5.1243,4.90999984741,4.6527,0.545589159059,-0.0208,0.1448,0.124,-0.00423625267747,56.2343,4.5395,4.8885,4.894,70.6748,56.25,51.5625,1504877400
MDRX20170909,0.7376,13.3658,13.0500001907,12.6282,0.571854922363,0.0091,0.1593,0.1684,0.000697317997471,53.7394,12.6467,12.997,13.23,72.0755,45.0705,75.9003,1504877400
GRUB20170909,4.384,57.3095,56.0800018311,52.9255,0.719548775332,-0.1429,1.8346,1.6918,-0.00254814542322,62.3067,49.3388,55.1175,56.454,66.4128,63.8298,79.4763,1504877400
ATW20170909,1.4592,7.3816,7.05000019073,5.9224,0.772752323694,0.1328,-0.1944,-0.0615,0.018836878923,50.8652,7.5333,6.652,7.112,55.1149,79.4118,87.5035,1504877400
